show_id,title,cast,country,date_added,release_year,rating,duration,listed_in,primary_genre
s391,The Walking Dead,"Andrew Lincoln, Steven Yeun, Norman Reedus, Chandler Riggs, Melissa McBride, Lauren Cohan, Danai Gurira, Alanna Masterson, Sonequa Martin-Green, Josh McDermitt, Christian Serratos, Seth Gilliam, Ross Marquand, Lennie James, Emily Kinney, Jon Bernthal",United States,2021-07-26 00:00:00,2019,TV-MA,10 Seasons,"Classic & Cult TV, TV Action & Adventure, TV Dramas",Classic & Cult TV
s392,Wynonna Earp,"Melanie Scrofano, Shamier Anderson, Tim Rozon, Dominique Provost-Chalkley, Michael Eklund, Katherine Barrell, Greg Lawson, Natascha Girgis",Canada,2021-07-26 00:00:00,2020,TV-MA,4 Seasons,"TV Action & Adventure, TV Dramas",TV Action & Adventure
s398,Feels Like Ishq,"Radhika Madan, Amol Parashar, Rohit Saraf, Kajol Chugh, Tanya Maniktala, Mihir Ahuja, Simran Jehani, Sanjeeta Bhattacharya, Saba Azaad, Skand Thakur, Zayn Marie Khan, Neeraj Madhav",Unknown,2021-07-23 00:00:00,2021,TV-MA,1 Season,"Romantic TV Shows, TV Comedies",Romantic TV Shows
s400,Masters of the Universe: Revelation,"Mark Hamill, Lena Headey, Chris Wood, Sarah Michelle Gellar, Liam Cunningham, Stephen Root, Diedrich Bader, Griffin Newman, Tiffany Smith, Henry Rollins, Alan Oppenheimer, Susan Eisenberg, Alicia Silverstone, Justin Long, Jason Mewes, Phil LaMarr, Tony Todd, Cree Summer, Kevin Michael Richardson, Kevin Conroy, Harley Quinn Smith",Unknown,2021-07-23 00:00:00,2021,TV-PG,1 Season,"TV Action & Adventure, TV Sci-Fi & Fantasy",TV Action & Adventure
s401,Revelations: The Masters of the Universe: Revelation Aftershow,"Kevin Smith, Tiffany Smith, Robert David, Sarah Michelle Gellar, Chris Wood, Liam Cunningham, Alan Oppenheimer, Lena Headey, Kevin Conroy, Henry Rollins, Jason Mewes, Stephen Root, Mark Hamill",Unknown,2021-07-23 00:00:00,2021,TV-PG,1 Season,"Anime Series, Stand-Up Comedy & Talk Shows",Anime Series
s402,Sky Rojo,"Verónica Sánchez, Miguel Ángel Silvestre, Asier Etxeandia, Lali Espósito, Yany Prado, Enric Auquer, Luis Zahera, Carmen Santamaría, Cecilia Gómez, Godeliv Van den Brandt, Penélope Guerrero, Luisa Vides, Niko Verona, Chema Ruiz",Spain,2021-07-23 00:00:00,2021,TV-MA,2 Seasons,"Spanish-Language TV Shows, TV Action & Adventure",Spanish-Language TV Shows
s404,The Movies That Made Us,Unknown,United States,2021-07-23 00:00:00,2021,TV-MA,2 Seasons,Docuseries,Docuseries
s426,Chicago Med,"Colin Donnell, Torrey DeVitto, Oliver Platt, S. Epatha Merkerson, Nick Gehlfuss, Yaya DaCosta, Laurie Holden",United States,2021-07-22 00:00:00,2019,TV-14,5 Seasons,TV Dramas,TV Dramas
s431,Sexy Beasts,Unknown,Unknown,2021-07-21 00:00:00,2021,TV-14,1 Season,"British TV Shows, Reality TV",British TV Shows
s432,Too Hot to Handle: Brazil,Bruna Louise,Unknown,2021-07-21 00:00:00,2021,TV-MA,1 Season,"Reality TV, Romantic TV Shows",Reality TV
s435,Okupas,"Rodrigo de la Serna, Diego Alonso, Ariel Staltari, Franco Tirri, Ana Celentano, Rosina Soto, Augusto Brítez, Dante Mastropierro, Susana Manchini, Diana Wells",Argentina,2021-07-20 00:00:00,2020,TV-MA,1 Season,"Classic & Cult TV, Crime TV Shows",Classic & Cult TV
s436,Touch Your Heart,"Lee Dong-wook, Yoo In-na, Lee Sang-woo, Son Sung-yoon, Oh Jung-se, Shim Hyoung-tak, Jang So-yeon, Park Ji-hwan, Lee Jun-hyuk",Unknown,2021-07-20 00:00:00,2019,TV-MA,1 Season,"Crime TV Shows, Romantic TV Shows",Crime TV Shows
s441,Explained,Unknown,United States,2021-07-16 00:00:00,2021,TV-MA,3 Seasons,"Docuseries, Science & Nature TV",Docuseries
s443,Johnny Test,"James Arnold Taylor, Trevor Devall, Maryke Hendrikse, Emily Tennant",United States,2021-07-16 00:00:00,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",Kids' TV
s445,Naomi Osaka,Unknown,Unknown,2021-07-16 00:00:00,2021,TV-14,1 Season,Docuseries,Docuseries
s454,BEASTARS,"Chikahiro Kobayashi, Sayaka Senbongi, Yuki Ono, Atsumi Tanezaki, Junya Enoki, Yuma Uchida, Takeo Otsuka, Naoto Kobayashi, Yoshiyuki Shimozuma, Nobuhiko Okamoto, Fukushi Ochiai, Takaaki Torashima, Sayumi Watabe, Genki Muro, Yuichi Iguchi, Yuko Hara, Ikuto Kanemasa, Ouchi Akane, Hibiku Yamamura, Sakura Ando, Akio Otsuka, Mitsuaki Hoshino, Kenyu Horiuchi",Japan,2021-07-15 00:00:00,2021,TV-MA,2 Seasons,Anime Series,Anime Series
s457,Her Private Life,"Park Min-young, Kim Jae-uk, Ahn Bo-hyun, Jung Je-won, Park Jin-joo, Kim Bo-ra, Maeng Sang-hun, Kim Mee-kyung, Kim Sun-young, Lee Il-hwa",South Korea,2021-07-15 00:00:00,2019,TV-14,1 Season,"Romantic TV Shows, TV Comedies",Romantic TV Shows
s460,Never Have I Ever,"Maitreyi Ramakrishnan, Poorna Jagannathan, Richa Moorjani, Jaren Lewison, Darren Barnet, John McEnroe, Ramona Young, Lee Rodriguez, Sendhil Ramamurthy, Adam Shapiro, Niecy Nash, Cocoa Brown, Lily D. Moore, Eddie Liu",United States,2021-07-15 00:00:00,2021,TV-14,2 Seasons,"TV Comedies, TV Dramas, Teen TV Shows",TV Comedies
s466,Heist,Unknown,Unknown,2021-07-14 00:00:00,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries",Crime TV Shows
s467,My Unorthodox Life,Unknown,Unknown,2021-07-14 00:00:00,2021,TV-MA,1 Season,Reality TV,Reality TV
s473,Ridley Jones,"Iara Nemirovsky, Laraine Newman, David Errigo Jr, Tyler Shamy, Ezra Menas, Ashlyn Madden, Sutton Foster",United States,2021-07-13 00:00:00,2021,TV-Y,1 Season,Kids' TV,Kids' TV
s478,Atypical,"Jennifer Jason Leigh, Keir Gilchrist, Michael Rapaport, Brigette Lundy-Paine, Amy Okuda, Jenna Boyd, Graham Rogers, Nik Dodani",United States,2021-07-09 00:00:00,2021,TV-14,4 Seasons,"TV Comedies, TV Dramas, Teen TV Shows",TV Comedies
s479,Biohackers,"Luna Wedler, Jessica Schwarz, Adrian Julius Tillmann, Thomas Prenn, Jing Xiang, Caro Cult, Sebastian Jakob Doppelbauer",Germany,2021-07-09 00:00:00,2021,TV-MA,2 Seasons,"TV Dramas, TV Sci-Fi & Fantasy",TV Dramas
s483,How to Become a Tyrant,Peter Dinklage,Unknown,2021-07-09 00:00:00,2021,TV-MA,1 Season,Docuseries,Docuseries
s488,The Cook of Castamar,"Michelle Jenner, Roberto Enríquez, Hugo Silva, Maxi Iglesias, María Hervás, Agnès Llobet, Paula Usero, Jean Cruz, Óscar Rabadán, Fiorella Faltoyano, Nancho Novo, Silvia Abascal, Mónica López",Unknown,2021-07-09 00:00:00,2021,TV-MA,1 Season,"Romantic TV Shows, Spanish-Language TV Shows",Romantic TV Shows
s489,Virgin River,"Alexandra Breckenridge, Martin Henderson, Tim Matheson, Annette O'Toole, Colin Lawrence, Jenny Cooper, Lauren Hammersley",United States,2021-07-09 00:00:00,2021,TV-14,3 Seasons,"Romantic TV Shows, TV Dramas",Romantic TV Shows
s491,Elize Matsunaga: Once Upon a Crime,Unknown,Unknown,2021-07-08 00:00:00,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries",Crime TV Shows
